Date,Name,Ticker,Fiscal,Actual,Consensus,Surprise
2012-07-31 21:10:00,VERISK ANALYTICS INC,VRSK,Q2 12 ,0.48,0.465,3.2
2012-08-01 11:00:00,CDW,CDW,Q2 12 ,,,
2012-08-01 12:00:00,COMCAST CORP A,CMCSA,Q2 12 ,0.25,0.239,4.6
2012-08-01 12:30:00,AUTOMATIC DATA PROCS,ADP,Q4 12 ,0.53,0.528,0.4
2012-08-01 13:00:00,EXCELON,EXC,Q2 12 ,0.61,0.634,-3.8
2012-08-01 21:00:00,BIOMARIN PHARMACEUT,BMRN,Q2 12 ,-0.27,-0.206,-31.1
2012-08-02 12:00:00,INCYTE CORPORATION,INCY,Q2 12 ,0.03,0.001,2900.0
2012-08-02 12:00:00,XCEL ENERGY CMN,XEL,Q2 12 ,0.38,0.355,7.0
2012-08-02 12:00:00,KRAFT HEINZ CO CMN,KHC,Q2 12 ,,,
2012-08-02 12:09:00,ANSYS,ANSS,Q2 12 ,0.72,0.661,8.9
2012-08-02 21:03:00,MONDELEZ INTL CMN A,MDLZ,Q2 12 ,0.68,0.66,3.0
2012-08-02 21:05:00,ACTIVISION BLIZZARD,ATVI,Q2 12 ,0.16,0.117,36.8
2012-08-02 21:30:00,MICROCHIP TECHNOLOGY,MCHP,Q1 13 ,0.48,0.479,0.2
2012-08-06 11:00:00,COGNIZANT TECH SOL,CTSH,Q2 12 ,0.44,0.436,0.9
2012-08-07 12:00:00,SIRIUS XM HOLDINGS I,SIRI,Q2 12 ,0.02,0.019,5.3
2012-08-07 13:00:00,CHARTER COMMUNICATIO,CHTR,Q2 12 ,-0.5,-0.244,-104.0
2012-08-07 21:00:00,BOOKING HOLDINGS INC,BKNG,Q2 12 ,6.93,7.359,-5.8
2012-08-08 21:00:00,MONSTER BEVERAGE CP,MNST,Q2 12 ,0.2,0.203,-3.1
2012-08-08 21:05:00,SEATTLE GENETICS,SGEN,Q2 12 ,-0.15,-0.149,-0.7
2012-08-09 21:19:00,NVIDIA CORPORATION,NVDA,Q2 13 ,0.27,0.224,20.5
2012-08-15 21:01:00,"NETAPP, INC.",NTAP,Q1 13 ,0.42,0.381,10.2
2012-08-15 21:04:00,CISCO SYSTEMS INC,CSCO,Q4 12 ,0.47,0.456,3.1
2012-08-15 21:05:00,APPLIED MATERIALS,AMAT,Q3 12 ,0.24,0.218,10.1
2012-08-16 12:36:00,DOLLAR TREE INC,DLTR,Q2 13 ,0.51,0.47,8.5
2012-08-16 13:25:00,"ROSS STORES, INC.",ROST,Q2 13 ,0.41,0.408,-0.7
2012-08-16 21:05:00,BROADCOM INC.,AVGO,Q3 12 ,0.72,0.661,8.9
2012-08-21 21:00:00,INTUIT INC,INTU,Q4 12 ,0.03,0.061,-50.8
2012-08-21 21:01:00,ANALOG DEVICES CMN,ADI,Q3 12 ,0.56,0.564,-0.7
2012-08-22 21:05:00,"SYNOPSYS, INC.",SNPS,Q3 12 ,0.55,0.502,9.6
2012-08-23 21:04:00,AUTODESK INC,ADSK,Q2 13 ,0.48,0.49,-2.0
2012-08-30 21:05:00,SPLUNK,SPLK,Q2 13 ,-0.01,-0.034,70.6
2012-09-06 21:00:00,"ULTA BEAUTY, INC.",ULTA,Q2 13 ,0.54,0.51,5.9
2012-09-19 21:03:00,ADOBE INC.,ADBE,Q3 12 ,0.58,0.585,-0.9
2012-09-20 21:15:00,CINTAS CORP,CTAS,Q1 13 ,0.6,0.585,2.6
2012-09-24 21:01:00,"PAYCHEX, INC.",PAYX,Q1 13 ,0.42,0.415,1.2
2012-09-25 23:42:00,COPART,CPRT,Q4 12 ,0.18,0.171,2.3
2012-09-27 21:05:00,MICRON TECHNOLOGY,MU,Q4 12 ,-0.24,-0.244,1.6
2012-09-28 12:30:00,WALGREENS BTS ALN CM,WBA,Q4 12 ,0.63,0.557,13.1
2012-10-03 21:30:00,MARRIOTT INT CL A CM,MAR,Q3 12 ,0.44,0.404,8.9
2012-10-10 08:01:00,COSTCO WHOLESALE,COST,Q4 12 ,1.41,1.309,7.7
2012-10-11 11:50:00,FASTENAL CO,FAST,Q3 12 ,0.19,0.189,-2.1
2012-10-16 21:01:00,INTEL CORP,INTC,Q3 12 ,0.6,0.523,14.7
2012-10-16 21:01:00,CSX,CSX,Q3 12 ,0.44,0.428,2.8
2012-10-16 21:05:00,"INTUITIVE SURG, INC.",ISRG,Q3 12 ,1.74,1.161,49.5
2012-10-17 12:00:00,PEPSICO INC,PEP,Q3 12 ,1.2,1.159,3.4
2012-10-17 13:01:00,AMERICAN AIRLINES GP,AAL,Q3 12 ,0.33,0.535,-38.3
2012-10-17 21:15:00,EBAY INC.,EBAY,Q3 12 ,0.55,0.545,0.9
2012-10-17 21:15:00,LAM RESEARCH CORP,LRCX,Q1 13 ,0.53,0.409,29.6
2012-10-17 21:20:00,"XILINX, INC.",XLNX,Q2 13 ,0.46,0.409,12.5
2012-10-17 21:27:00,ALIGN TECHNOLOGY I,ALGN,Q3 12 ,0.28,0.289,-3.1
2012-10-18 21:00:00,ALPHABET CL A CMN,GOOGL,Q3 12 ,3.27,4.378,-25.4
2012-10-18 21:02:00,MICROSOFT CORP,MSFT,Q1 13 ,0.53,0.561,-5.5
2012-10-18 21:15:00,ADV MICRO DEVICES,AMD,Q3 12 ,-0.2,-0.149,-34.2
2012-10-19 12:00:00,IDEXX LABORATORIES,IDXX,Q3 12 ,0.38,0.366,3.8
2012-10-22 21:15:00,WESTERN DIGITAL CP,WDC,Q1 13 ,2.36,2.298,2.7
2012-10-22 21:30:00,TEXAS INSTRUMENTS,TXN,Q3 12 ,0.45,0.399,12.8
2012-10-23 21:01:00,"GILEAD SCIENCES, INC",GILD,Q3 12 ,0.5,0.472,5.9
2012-10-23 21:02:00,AMGEN,AMGN,Q3 12 ,1.67,1.473,13.4
2012-10-23 21:05:00,FACEBOOK INC,FB,Q3 12 ,-0.02,0.053,-137.7
2012-10-23 21:05:00,"NETFLIX, INC.",NFLX,Q3 12 ,0.02,0.007,165.3
2012-10-23 21:20:00,"ILLUMINA, INC.",ILMN,Q3 12 ,0.41,0.388,5.7
2012-10-24 11:30:00,REGENERON PHARMACEUT,REGN,Q3 12 ,1.89,1.154,63.8
2012-10-24 11:30:00,ALEXION PHARM INC,ALXN,Q3 12 ,0.6,0.474,26.6
2012-10-24 21:05:00,CADENCE DESIGN SYS,CDNS,Q3 12 ,0.21,0.181,16.0
2012-10-24 21:05:00,CITRIX SYSTEMS INC,CTXS,Q3 12 ,0.68,0.653,4.1
2012-10-24 21:15:00,COSTAR GROUP,CSGP,Q3 12 ,0.38,0.391,-2.8
2012-10-24 23:30:00,O'REILLY AUTOMOTIVE,ORLY,Q3 12 ,1.32,1.272,3.8
2012-10-25 12:00:00,XCEL ENERGY CMN,XEL,Q3 12 ,0.78,0.728,7.1
2012-10-25 12:15:00,BIOGEN INC CMN,BIIB,Q3 12 ,1.9,1.593,19.3
2012-10-25 12:30:00,UNITED AIRLNS HLD CM,UAL,Q3 12 ,1.35,1.47,-8.2
2012-10-25 13:00:00,PACCAR INC.,PCAR,Q3 12 ,0.66,0.649,1.7
2012-10-25 21:00:00,"EXPEDIA GROUP, INC.",EXPE,Q3 12 ,1.32,1.261,4.7
2012-10-25 21:00:00,BIOMARIN PHARMACEUT,BMRN,Q3 12 ,-0.04,-0.199,79.9
2012-10-25 21:00:00,AMAZON.COM INC,AMZN,Q3 12 ,-0.6,-0.082,-631.7
2012-10-25 21:01:00,CERNER CORP,CERN,Q3 12 ,0.3,0.296,1.4
2012-10-25 21:05:00,"VERISIGN, INC.",VRSN,Q3 12 ,0.5,0.491,1.8
2012-10-25 21:09:00,MAXIM INTEGRATED,MXIM,Q1 13 ,0.47,0.438,7.3
2012-10-25 21:15:00,KLA CP CMN STK,KLAC,Q1 13 ,0.84,0.884,-5.0
2012-10-25 21:30:00,APPLE INC.,AAPL,Q4 12 ,1.24,1.252,-1.1
2012-10-26 12:00:00,COMCAST CORP A,CMCSA,Q3 12 ,0.23,0.232,-0.9
2012-10-30 10:00:00,T-MOBILE,TM,Q3 12 ,0.77,0.515,50.1
2012-10-30 20:01:00,ELECTRONIC ARTS INC,EA,Q2 13 ,0.15,0.107,40.2
2012-10-30 20:01:00,"FISERV, INC.",FISV,Q3 12 ,0.32,0.318,-0.2
2012-10-30 20:15:00,VERISK ANALYTICS INC,VRSK,Q3 12 ,0.54,0.499,8.2
2012-10-31 11:30:00,TAKE-TWO INTERACTI,TTWO,Q2 13 ,0.11,-0.179,161.5
2012-11-01 11:00:00,INCYTE CORPORATION,INCY,Q3 12 ,-0.17,-0.205,17.1
2012-11-01 11:00:00,SIRIUS XM HOLDINGS I,SIRI,Q3 12 ,0.02,0.022,-9.1
2012-11-01 11:19:00,ANSYS,ANSS,Q3 12 ,0.74,0.687,7.7
2012-11-01 11:30:00,AUTOMATIC DATA PROCS,ADP,Q1 13 ,0.62,0.625,-0.8
2012-11-01 11:30:00,EXCELON,EXC,Q3 12 ,0.77,0.718,7.2
2012-11-01 20:00:00,VERTEX PHARMACEUTIC,VRTX,Q3 12 ,0.13,0.328,-60.4
2012-11-01 20:00:00,BOOKING HOLDINGS INC,BKNG,Q3 12 ,12.03,11.791,2.0
2012-11-01 20:03:00,STARBUCKS CORP,SBUX,Q4 12 ,0.23,0.227,1.3
2012-11-01 20:30:00,SKYWORKS SOLUTIONS,SWKS,Q4 12 ,0.53,0.518,2.3
2012-11-05 11:30:00,"TESLA, INC.",TSLA,Q3 12 ,-0.92,-0.919,-0.1
2012-11-06 13:00:00,CHARTER COMMUNICATIO,CHTR,Q3 12 ,-0.96,-0.4,-140.5
2012-11-07 11:00:00,COGNIZANT TECH SOL,CTSH,Q3 12 ,0.49,0.461,5.2
2012-11-07 21:00:00,QUALCOMM INC,QCOM,Q4 12 ,0.89,0.817,8.9
2012-11-07 21:00:00,MONSTER BEVERAGE CP,MNST,Q3 12 ,0.16,0.183,-14.4
2012-11-07 21:05:00,MONDELEZ INTL CMN A,MDLZ,Q3 12 ,0.37,0.355,4.2
2012-11-07 21:05:00,SEATTLE GENETICS,SGEN,Q3 12 ,-0.12,-0.152,21.1
2012-11-07 21:05:00,ACTIVISION BLIZZARD,ATVI,Q3 12 ,0.15,0.082,82.9
2012-11-08 21:15:00,MICROCHIP TECHNOLOGY,MCHP,Q2 13 ,0.48,0.477,0.6
2012-11-08 21:20:00,NVIDIA CORPORATION,NVDA,Q3 13 ,0.39,0.358,8.9
2012-11-09 11:00:00,CDW,CDW,Q3 12 ,,,
2012-11-13 21:05:00,CISCO SYSTEMS INC,CSCO,Q1 13 ,0.48,0.46,4.3
2012-11-14 21:01:00,"NETAPP, INC.",NTAP,Q2 13 ,0.51,0.477,6.9
2012-11-15 12:39:00,DOLLAR TREE INC,DLTR,Q3 13 ,0.51,0.489,4.3
2012-11-15 13:30:00,"ROSS STORES, INC.",ROST,Q3 13 ,0.36,0.362,-0.6
2012-11-15 21:00:00,INTUIT INC,INTU,Q1 13 ,-0.03,-0.063,52.4
2012-11-15 21:01:00,AUTODESK INC,ADSK,Q3 13 ,0.47,0.433,8.5
2012-11-15 21:11:00,APPLIED MATERIALS,AMAT,Q4 12 ,0.06,0.032,87.5
2012-11-27 21:00:00,ANALOG DEVICES CMN,ADI,Q4 12 ,0.58,0.567,2.3
2012-11-27 22:17:00,COPART,CPRT,Q1 13 ,0.18,0.181,-0.6
2012-11-28 21:05:00,"WORKDAY, INC.",WDAY,Q3 13 ,-0.39,-0.486,19.8
2012-11-29 21:00:00,"ULTA BEAUTY, INC.",ULTA,Q3 13 ,0.59,0.557,5.9
2012-11-29 21:05:00,SPLUNK,SPLK,Q3 13 ,-0.01,-0.02,50.0
2012-11-29 21:05:00,BROADCOM INC.,AVGO,Q4 12 ,0.77,0.732,5.2
2012-12-05 21:05:00,"SYNOPSYS, INC.",SNPS,Q4 12 ,0.47,0.473,-0.6
2012-12-12 08:01:00,COSTCO WHOLESALE,COST,Q1 13 ,0.95,0.931,2.0
2012-12-13 21:03:00,ADOBE INC.,ADBE,Q4 12 ,0.61,0.563,8.3
2012-12-19 21:01:00,"PAYCHEX, INC.",PAYX,Q2 13 ,0.41,0.406,1.0
2012-12-20 21:07:00,MICRON TECHNOLOGY,MU,Q1 13 ,-0.29,-0.209,-38.8
2012-12-20 21:15:00,CINTAS CORP,CTAS,Q2 13 ,0.63,0.624,1.0
2012-12-21 12:30:00,WALGREENS BTS ALN CM,WBA,Q1 13 ,0.58,0.7,-17.1
2013-01-16 13:30:00,AMERICAN AIRLINES GP,AAL,Q4 12 ,-0.23,-0.68,66.2
2013-01-16 21:15:00,EBAY INC.,EBAY,Q4 12 ,0.7,0.695,0.7
2013-01-17 11:50:00,FASTENAL CO,FAST,Q4 12 ,0.17,0.168,-1.8
2013-01-17 21:01:00,INTEL CORP,INTC,Q4 12 ,0.51,0.492,3.7
2013-01-17 21:20:00,"XILINX, INC.",XLNX,Q3 13 ,0.38,0.37,2.7
2013-01-22 21:00:00,ALPHABET CL A CMN,GOOGL,Q4 12 ,4.31,4.216,2.2
2013-01-22 21:05:00,"INTUITIVE SURG, INC.",ISRG,Q4 12 ,1.42,1.345,5.3
2013-01-22 21:10:00,CSX,CSX,Q4 12 ,0.39,0.389,0.3
2013-01-22 21:15:00,ADV MICRO DEVICES,AMD,Q4 12 ,-0.14,-0.18,22.2
2013-01-22 21:30:00,TEXAS INSTRUMENTS,TXN,Q4 12 ,0.23,0.073,215.1
2013-01-23 21:02:00,AMGEN,AMGN,Q4 12 ,1.4,1.387,0.9
2013-01-23 21:04:00,"NETFLIX, INC.",NFLX,Q4 12 ,0.02,-0.019,197.7
2013-01-23 21:15:00,WESTERN DIGITAL CP,WDC,Q2 13 ,2.09,1.817,15.0
2013-01-23 21:24:00,LAM RESEARCH CORP,LRCX,Q2 13 ,0.45,0.449,0.2
2013-01-23 21:30:00,APPLE INC.,AAPL,Q1 13 ,1.97,1.934,2.0
2013-01-24 12:30:00,UNITED AIRLNS HLD CM,UAL,Q4 12 ,-0.58,-0.58,0.0
2013-01-24 21:00:00,MAXIM INTEGRATED,MXIM,Q2 13 ,0.42,0.414,1.4
2013-01-24 21:02:00,MICROSOFT CORP,MSFT,Q2 13 ,0.76,0.744,2.2
2013-01-24 21:05:00,"VERISIGN, INC.",VRSN,Q4 12 ,0.59,0.51,15.7
2013-01-24 21:05:00,STARBUCKS CORP,SBUX,Q1 13 ,0.28,0.284,0.4
2013-01-24 21:15:00,KLA CP CMN STK,KLAC,Q2 13 ,0.63,0.563,11.9
2013-01-28 11:30:00,BIOGEN INC CMN,BIIB,Q4 12 ,1.2,1.459,-17.8
2013-01-28 21:05:00,"ILLUMINA, INC.",ILMN,Q4 12 ,0.42,0.412,1.9
2013-01-29 12:00:00,IDEXX LABORATORIES,IDXX,Q4 12 ,0.37,0.357,3.6
2013-01-29 21:00:00,AMAZON.COM INC,AMZN,Q4 12 ,0.21,0.277,-24.2
2013-01-29 21:01:00,VERTEX PHARMACEUTIC,VRTX,Q4 12 ,0.04,0.071,-43.7
2013-01-30 21:00:00,QUALCOMM INC,QCOM,Q1 13 ,1.26,1.124,12.1
2013-01-30 21:00:00,ALIGN TECHNOLOGY I,ALGN,Q4 12 ,0.27,0.223,21.1
2013-01-30 21:01:00,ELECTRONIC ARTS INC,EA,Q3 13 ,0.57,0.56,1.8
2013-01-30 21:05:00,CADENCE DESIGN SYS,CDNS,Q4 12 ,0.2,0.192,4.2
2013-01-30 21:05:00,CITRIX SYSTEMS INC,CTXS,Q4 12 ,0.9,0.841,7.0
2013-01-30 21:08:00,FACEBOOK INC,FB,Q4 12 ,0.03,0.024,25.0
2013-01-30 21:30:00,SKYWORKS SOLUTIONS,SWKS,Q1 13 ,0.55,0.542,1.5
2013-01-31 12:00:00,XCEL ENERGY CMN,XEL,Q4 12 ,0.29,0.275,5.5
2013-01-31 13:00:00,PACCAR INC.,PCAR,Q4 12 ,0.72,0.681,5.7
2013-02-04 21:05:00,"GILEAD SCIENCES, INC",GILD,Q4 12 ,0.5,0.479,4.4
2013-02-05 12:00:00,SIRIUS XM HOLDINGS I,SIRI,Q4 12 ,0.02,0.023,-13.0
2013-02-05 12:30:00,AUTOMATIC DATA PROCS,ADP,Q2 13 ,0.72,0.71,1.4
2013-02-05 21:00:00,"EXPEDIA GROUP, INC.",EXPE,Q4 12 ,0.63,0.652,-3.4
2013-02-05 21:01:00,CERNER CORP,CERN,Q4 12 ,0.34,0.32,4.7
2013-02-05 21:05:00,TAKE-TWO INTERACTI,TTWO,Q3 13 ,0.67,0.549,22.0
2013-02-05 21:06:00,"FISERV, INC.",FISV,Q4 12 ,0.35,0.352,-1.3
2013-02-06 23:30:00,O'REILLY AUTOMOTIVE,ORLY,Q4 12 ,1.14,1.078,5.8
2013-02-07 11:00:00,COGNIZANT TECH SOL,CTSH,Q4 12 ,0.5,0.49,1.0
2013-02-07 12:30:00,EXCELON,EXC,Q4 12 ,0.64,0.649,-1.4
2013-02-07 21:05:00,ACTIVISION BLIZZARD,ATVI,Q4 12 ,0.78,0.719,8.5
2013-02-07 21:15:00,MICROCHIP TECHNOLOGY,MCHP,Q3 13 ,0.41,0.395,3.8
2013-02-12 21:05:00,SEATTLE GENETICS,SGEN,Q4 12 ,-0.09,-0.126,28.6
2013-02-12 21:31:00,COMCAST CORP A,CMCSA,Q4 12 ,0.26,0.272,-4.4
2013-02-13 21:00:00,APPLIED MATERIALS,AMAT,Q1 13 ,0.06,0.032,87.5
2013-02-13 21:01:00,"NETAPP, INC.",NTAP,Q3 13 ,0.67,0.563,19.0
2013-02-13 21:02:00,MONDELEZ INTL CMN A,MDLZ,Q4 12 ,0.36,0.374,-3.7
2013-02-13 21:05:00,CISCO SYSTEMS INC,CSCO,Q2 13 ,0.51,0.48,6.3
2013-02-13 21:20:00,NVIDIA CORPORATION,NVDA,Q4 13 ,0.35,0.296,18.2
2013-02-14 11:30:00,ALEXION PHARM INC,ALXN,Q4 12 ,0.6,0.529,13.4
2013-02-14 11:30:00,REGENERON PHARMACEUT,REGN,Q4 12 ,1.47,1.369,7.4
2013-02-14 12:00:00,INCYTE CORPORATION,INCY,Q4 12 ,0.14,-0.015,1033.3
2013-02-14 12:01:00,PEPSICO INC,PEP,Q4 12 ,1.09,1.052,3.8
2013-02-19 21:02:00,ANALOG DEVICES CMN,ADI,Q1 13 ,0.44,0.447,-1.6
2013-02-19 21:30:00,MARRIOTT INT CL A CM,MAR,Q4 12 ,0.56,0.549,2.0
2013-02-20 21:03:00,"TESLA, INC.",TSLA,Q4 12 ,-0.65,-0.585,-11.1
2013-02-20 21:06:00,"SYNOPSYS, INC.",SNPS,Q1 13 ,0.67,0.55,21.8
2013-02-21 21:00:00,INTUIT INC,INTU,Q2 13 ,0.33,0.321,2.8
2013-02-21 21:03:00,BIOMARIN PHARMACEUT,BMRN,Q4 12 ,-0.43,-0.271,-58.7
2013-02-22 13:00:00,CHARTER COMMUNICATIO,CHTR,Q4 12 ,-0.59,0.022,-2764.3
2013-02-25 21:01:00,AUTODESK INC,ADSK,Q4 13 ,0.53,0.493,7.5
2013-02-26 11:30:00,T-MOBILE,TM,Q4 12 ,0.19,0.181,4.3
2013-02-26 21:00:00,BOOKING HOLDINGS INC,BKNG,Q4 12 ,5.99,6.533,-8.3
2013-02-26 21:05:00,BROADCOM INC.,AVGO,Q1 13 ,0.65,0.603,7.8
2013-02-26 21:15:00,VERISK ANALYTICS INC,VRSK,Q4 12 ,0.63,0.54,16.7
2013-02-27 12:35:00,DOLLAR TREE INC,DLTR,Q4 13 ,1.01,0.988,2.2
2013-02-27 21:00:00,MONSTER BEVERAGE CP,MNST,Q4 12 ,0.13,0.136,-4.4
2013-02-27 21:15:00,COSTAR GROUP,CSGP,Q4 12 ,0.19,0.435,-56.3
2013-02-28 00:13:00,COPART,CPRT,Q2 13 ,0.19,0.182,1.6
2013-02-28 12:09:00,ANSYS,ANSS,Q4 12 ,0.79,0.736,7.3
2013-02-28 21:05:00,SPLUNK,SPLK,Q4 13 ,0.03,0.018,66.7
2013-03-07 21:05:00,"WORKDAY, INC.",WDAY,Q4 13 ,-0.16,-0.208,23.1
2013-03-08 11:00:00,CDW,CDW,Q4 12 ,0.34,,
2013-03-12 07:01:00,COSTCO WHOLESALE,COST,Q2 13 ,1.1,1.057,4.1
2013-03-14 20:00:00,"ULTA BEAUTY, INC.",ULTA,Q4 13 ,1.0,0.979,2.1
2013-03-19 10:35:00,WALGREENS BTS ALN CM,WBA,Q2 13 ,0.96,0.929,3.3
2013-03-19 20:02:00,ADOBE INC.,ADBE,Q1 13 ,0.35,0.325,7.7
2013-03-19 20:15:00,CINTAS CORP,CTAS,Q3 13 ,0.6,0.618,-2.9
2013-03-21 12:30:00,"ROSS STORES, INC.",ROST,Q4 13 ,0.54,0.538,-0.6
2013-03-21 20:05:00,MICRON TECHNOLOGY,MU,Q2 13 ,-0.28,-0.21,-33.3
2013-03-27 20:01:00,"PAYCHEX, INC.",PAYX,Q3 13 ,0.4,0.39,2.6
2013-04-10 11:50:00,FASTENAL CO,FAST,Q1 13 ,0.19,0.187,-1.1
2013-04-16 21:01:00,INTEL CORP,INTC,Q1 13 ,0.41,0.438,-6.0
2013-04-16 21:02:00,CSX,CSX,Q1 13 ,0.45,0.399,12.8
2013-04-17 21:15:00,EBAY INC.,EBAY,Q1 13 ,0.63,0.624,1.0
2013-04-18 12:00:00,PEPSICO INC,PEP,Q1 13 ,0.77,0.707,8.9
2013-04-18 14:00:00,AMERICAN AIRLINES GP,AAL,Q1 13 ,0.02,-0.1,120.0
2013-04-18 21:00:00,ALPHABET CL A CMN,GOOGL,Q1 13 ,4.93,4.379,12.7
2013-04-18 21:00:00,ALIGN TECHNOLOGY I,ALGN,Q1 13 ,0.26,0.227,14.5
2013-04-18 21:01:00,MICROSOFT CORP,MSFT,Q3 13 ,0.72,0.678,6.2
2013-04-18 21:05:00,"INTUITIVE SURG, INC.",ISRG,Q1 13 ,1.52,1.328,14.5
2013-04-18 21:15:00,ADV MICRO DEVICES,AMD,Q1 13 ,-0.11,-0.174,36.8
2013-04-22 21:05:00,"ILLUMINA, INC.",ILMN,Q1 13 ,0.46,0.38,21.1
2013-04-22 21:05:00,"NETFLIX, INC.",NFLX,Q1 13 ,0.04,0.028,58.2
2013-04-22 21:30:00,TEXAS INSTRUMENTS,TXN,Q1 13 ,0.32,0.304,5.3
2013-04-23 12:00:00,IDEXX LABORATORIES,IDXX,Q1 13 ,0.41,0.415,-2.4
2013-04-23 13:00:00,PACCAR INC.,PCAR,Q1 13 ,0.67,0.679,-1.3
2013-04-23 21:00:00,AMGEN,AMGN,Q1 13 ,1.96,1.844,6.3
2013-04-23 21:30:00,APPLE INC.,AAPL,Q2 13 ,1.44,1.426,1.1
2013-04-24 21:00:00,QUALCOMM INC,QCOM,Q2 13 ,1.17,1.172,-0.2
2013-04-24 21:05:00,LAM RESEARCH CORP,LRCX,Q3 13 ,0.44,0.368,19.6
2013-04-24 21:05:00,CADENCE DESIGN SYS,CDNS,Q1 13 ,0.21,0.198,6.1
2013-04-24 21:05:00,CITRIX SYSTEMS INC,CTXS,Q1 13 ,0.62,0.629,-1.4
2013-04-24 21:15:00,COSTAR GROUP,CSGP,Q1 13 ,0.47,0.436,7.8
2013-04-24 21:15:00,WESTERN DIGITAL CP,WDC,Q3 13 ,2.1,1.772,18.5
2013-04-24 21:20:00,"XILINX, INC.",XLNX,Q4 13 ,0.47,0.448,4.9
2013-04-24 21:30:00,T-MOBILE,TM,Q1 13 ,0.1,0.183,-45.4
2013-04-24 23:30:00,O'REILLY AUTOMOTIVE,ORLY,Q1 13 ,1.36,1.349,0.8
2013-04-25 11:30:00,BIOGEN INC CMN,BIIB,Q1 13 ,1.78,1.614,10.3
2013-04-25 11:30:00,ALEXION PHARM INC,ALXN,Q1 13 ,0.65,0.601,8.2
2013-04-25 12:30:00,UNITED AIRLNS HLD CM,UAL,Q1 13 ,-0.98,-1.089,10.0
2013-04-25 21:00:00,MAXIM INTEGRATED,MXIM,Q3 13 ,0.45,0.415,8.4
2013-04-25 21:00:00,AMAZON.COM INC,AMZN,Q1 13 ,0.18,0.095,89.5
2013-04-25 21:00:00,"EXPEDIA GROUP, INC.",EXPE,Q1 13 ,0.25,0.229,9.2
2013-04-25 21:01:00,CERNER CORP,CERN,Q1 13 ,0.33,0.318,3.8
2013-04-25 21:03:00,BIOMARIN PHARMACEUT,BMRN,Q1 13 ,-0.31,-0.301,-3.0
2013-04-25 21:05:00,STARBUCKS CORP,SBUX,Q2 13 ,0.24,0.244,-1.6
2013-04-25 21:05:00,"VERISIGN, INC.",VRSN,Q1 13 ,0.58,0.544,6.6
2013-04-25 21:15:00,KLA CP CMN STK,KLAC,Q3 13 ,1.01,0.855,18.1
2013-04-25 21:30:00,SKYWORKS SOLUTIONS,SWKS,Q2 13 ,0.48,0.472,1.7
2013-04-30 12:00:00,SIRIUS XM HOLDINGS I,SIRI,Q1 13 ,0.02,0.025,-20.0
2013-04-30 21:01:00,"FISERV, INC.",FISV,Q1 13 ,0.33,0.336,-1.0
2013-04-30 21:03:00,VERTEX PHARMACEUTIC,VRTX,Q1 13 ,0.03,-0.067,144.8
2013-04-30 21:10:00,VERISK ANALYTICS INC,VRSK,Q1 13 ,0.53,0.531,-0.2
2013-05-01 12:00:00,COMCAST CORP A,CMCSA,Q1 13 ,0.26,0.255,0.0
2013-05-01 13:00:00,EXCELON,EXC,Q1 13 ,0.7,0.678,3.2
2013-05-01 21:05:00,FACEBOOK INC,FB,Q1 13 ,0.09,0.077,16.9
2013-05-01 21:30:00,MARRIOTT INT CL A CM,MAR,Q1 13 ,0.43,0.404,6.4
2013-05-02 12:00:00,XCEL ENERGY CMN,XEL,Q1 13 ,0.48,0.449,6.9
2013-05-02 12:00:00,INCYTE CORPORATION,INCY,Q1 13 ,-0.12,-0.22,45.5
2013-05-02 12:19:00,ANSYS,ANSS,Q1 13 ,0.71,0.694,2.3
2013-05-02 21:05:00,"GILEAD SCIENCES, INC",GILD,Q1 13 ,0.48,0.495,-3.0
2013-05-02 21:15:00,MICROCHIP TECHNOLOGY,MCHP,Q4 13 ,0.52,0.472,10.2
2013-05-03 11:30:00,REGENERON PHARMACEUT,REGN,Q1 13 ,1.78,1.459,22.0
2013-05-03 12:30:00,AUTOMATIC DATA PROCS,ADP,Q3 13 ,0.99,0.982,0.8
2013-05-07 13:00:00,CHARTER COMMUNICATIO,CHTR,Q1 13 ,-0.14,-0.509,71.8
2013-05-07 21:01:00,ELECTRONIC ARTS INC,EA,Q4 13 ,0.55,0.575,-4.3
2013-05-07 21:01:00,MONDELEZ INTL CMN A,MDLZ,Q1 13 ,0.34,0.334,1.8
2013-05-07 21:05:00,SEATTLE GENETICS,SGEN,Q1 13 ,-0.14,-0.193,27.5
2013-05-08 11:00:00,COGNIZANT TECH SOL,CTSH,Q1 13 ,0.51,0.505,1.0
2013-05-08 21:00:00,"TESLA, INC.",TSLA,Q1 13 ,0.12,0.037,224.3
2013-05-08 21:05:00,ACTIVISION BLIZZARD,ATVI,Q1 13 ,0.17,0.109,56.0
2013-05-08 21:10:00,MONSTER BEVERAGE CP,MNST,Q1 13 ,0.12,0.155,-22.6
2013-05-09 11:00:00,CDW,CDW,Q1 13 ,,,
2013-05-09 21:00:00,BOOKING HOLDINGS INC,BKNG,Q1 13 ,5.02,5.268,-4.7
2013-05-09 21:20:00,NVIDIA CORPORATION,NVDA,Q1 14 ,0.18,0.147,22.4
2013-05-13 21:05:00,TAKE-TWO INTERACTI,TTWO,Q4 13 ,0.38,0.234,62.4
2013-05-15 21:05:00,CISCO SYSTEMS INC,CSCO,Q3 13 ,0.51,0.492,3.7
